[eil76.tsp] run 27/30 | best=   544 | mean=  541.70 std=  1.98 | t= 18.9s ETA=00:00:56
[eil76.tsp] run 28/30 | best=   543 | mean=  541.75 std=  1.96 | t= 18.8s ETA=00:00:37
[eil76.tsp] run 29/30 | best=   540 | mean=  541.69 std=  1.95 | t= 18.7s ETA=00:00:18
[eil76.tsp] run 30/30 | best=   538 | mean=  541.57 std=  2.03 | t= 18.9s ETA=00:00:00
>> eil76.tsp: avg=541.57, std=2.03

>>> eil101.tsp (n=101) | resume from run 0/30
[eil101.tsp] run  1/30 | best=   635 | mean=  635.00 std=  0.00 | t= 25.2s ETA=00:12:10
[eil101.tsp] run  2/30 | best=   632 | mean=  633.50 std=  1.50 | t= 25.0s ETA=00:11:42
[eil101.tsp] run  3/30 | best=   638 | mean=  635.00 std=  2.45 | t= 25.1s ETA=00:11:18
[eil101.tsp] run  4/30 | best=   638 | mean=  635.75 std=  2.49 | t= 25.1s ETA=00:10:52
[eil101.tsp] run  5/30 | best=   636 | mean=  635.80 std=  2.23 | t= 25.4s ETA=00:10:29
[eil101.tsp] run  6/30 | best=   638 | mean=  636.17 std=  2.19 | t= 25.4s ETA=00:10:04
[eil101.tsp] run  7/30 | best=   639 | mean=  636.57 std=  2.26 | t= 25.3s ETA=00:09:40
[eil101.tsp] run  8/30 | best=   636 | mean=  636.50 std=  2.12 | t= 25.5s ETA=00:09:15
[eil101.tsp] run  9/30 | best=   634 | mean=  636.22 std=  2.15 | t= 25.2s ETA=00:08:50
[eil101.tsp] run 10/30 | best=   635 | mean=  636.10 std=  2.07 | t= 25.2s ETA=00:08:24
[eil101.tsp] run 11/30 | best=   630 | mean=  635.55 std=  2.64 | t= 25.0s ETA=00:07:59
[eil101.tsp] run 12/30 | best=   639 | mean=  635.83 std=  2.70 | t= 25.2s ETA=00:07:34
[eil101.tsp] run 13/30 | best=   630 | mean=  635.38 std=  3.03 | t= 25.1s ETA=00:07:08
[eil101.tsp] run 14/30 | best=   635 | mean=  635.36 std=  2.92 | t= 25.2s ETA=00:06:43
[eil101.tsp] run 15/30 | best=   629 | mean=  634.93 std=  3.23 | t= 25.0s ETA=00:06:17
[eil101.tsp] run 16/30 | best=   636 | mean=  635.00 std=  3.14 | t= 25.3s ETA=00:05:52
[eil101.tsp] run 17/30 | best=   629 | mean=  634.65 std=  3.36 | t= 25.3s ETA=00:05:27
[eil101.tsp] run 18/30 | best=   638 | mean=  634.83 std=  3.35 | t= 25.3s ETA=00:05:02
[eil101.tsp] run 19/30 | best=   642 | mean=  635.21 std=  3.64 | t= 25.6s ETA=00:04:37
[eil101.tsp] run 20/30 | best=   638 | mean=  635.35 std=  3.60 | t= 25.4s ETA=00:04:12
[eil101.tsp] run 21/30 | best=   632 | mean=  635.19 std=  3.58 | t= 25.0s ETA=00:03:47
[eil101.tsp] run 22/30 | best=   633 | mean=  635.09 std=  3.53 | t= 25.1s ETA=00:03:21
[eil101.tsp] run 23/30 | best=   634 | mean=  635.04 std=  3.46 | t= 25.4s ETA=00:02:56
[eil101.tsp] run 24/30 | best=   635 | mean=  635.04 std=  3.38 | t= 25.0s ETA=00:02:31
[eil101.tsp] run 25/30 | best=   639 | mean=  635.20 std=  3.41 | t= 24.9s ETA=00:02:06
[eil101.tsp] run 26/30 | best=   640 | mean=  635.38 std=  3.46 | t= 25.2s ETA=00:01:40
[eil101.tsp] run 27/30 | best=   635 | mean=  635.37 std=  3.40 | t= 25.4s ETA=00:01:15
[eil101.tsp] run 28/30 | best=   639 | mean=  635.50 std=  3.41 | t= 25.4s ETA=00:00:50
[eil101.tsp] run 29/30 | best=   635 | mean=  635.48 std=  3.35 | t= 25.1s ETA=00:00:25
[eil101.tsp] run 30/30 | best=   632 | mean=  635.37 std=  3.35 | t= 25.6s ETA=00:00:00
>> eil101.tsp: avg=635.37, std=3.35

>>> st70.tsp (n=70) | resume from run 0/30
[st70.tsp] run  1/30 | best=   675 | mean=  675.00 std=  0.00 | t= 17.3s ETA=00:08:21
[st70.tsp] run  2/30 | best=   675 | mean=  675.00 std=  0.00 | t= 18.0s ETA=00:08:13
[st70.tsp] run  3/30 | best=   675 | mean=  675.00 std=  0.00 | t= 17.4s ETA=00:07:53
[st70.tsp] run  4/30 | best=   680 | mean=  676.25 std=  2.17 | t= 17.2s ETA=00:07:34
[st70.tsp] run  5/30 | best=   675 | mean=  676.00 std=  2.00 | t= 17.5s ETA=00:07:16
[st70.tsp] run  6/30 | best=   675 | mean=  675.83 std=  1.86 | t= 17.6s ETA=00:06:59
[st70.tsp] run  7/30 | best=   675 | mean=  675.71 std=  1.75 | t= 17.5s ETA=00:06:42
[st70.tsp] run  8/30 | best=   675 | mean=  675.62 std=  1.65 | t= 17.4s ETA=00:06:24
[st70.tsp] run  9/30 | best=   675 | mean=  675.56 std=  1.57 | t= 17.2s ETA=00:06:06
[st70.tsp] run 10/30 | best=   675 | mean=  675.50 std=  1.50 | t= 17.1s ETA=00:05:48
[st70.tsp] run 11/30 | best=   676 | mean=  675.55 std=  1.44 | t= 16.9s ETA=00:05:30
[st70.tsp] run 12/30 | best=   677 | mean=  675.67 std=  1.43 | t= 17.4s ETA=00:05:12
[st70.tsp] run 13/30 | best=   675 | mean=  675.62 std=  1.39 | t= 17.5s ETA=00:04:55
