# instance algo pop gens best_cost
kroA100 3 50 2000 191387
kroA100 3 50 5000 191387
kroA100 3 50 10000 191387
kroA100 3 50 20000 191387
kroA100 3 100 2000 191387
kroA100 3 100 5000 191387
kroA100 3 100 10000 191387
kroA100 3 100 20000 191387
kroA100 3 200 2000 191387
kroA100 3 200 5000 191387
kroA100 3 200 10000 191387
kroA100 3 200 20000 191387
kroC100 1 20 2000 183466
kroC100 1 20 5000 183466
kroC100 1 20 10000 183466
kroC100 1 20 20000 183466
kroC100 1 50 2000 183466
kroC100 1 50 5000 183466
kroC100 1 50 10000 183466
kroC100 1 50 20000 183466
kroC100 1 100 2000 183466
kroC100 1 100 5000 183466
kroC100 1 100 10000 183466
kroC100 1 100 20000 183466
kroC100 1 200 2000 183466
kroC100 1 200 5000 183466
kroC100 1 200 10000 183466
kroC100 1 200 20000 183466
kroC100 2 20 2000 183466
kroC100 2 20 5000 183466
kroC100 2 20 10000 183466
kroC100 2 20 20000 183466
kroC100 2 50 2000 183466
kroC100 2 50 5000 183466
kroC100 2 50 10000 183466
kroC100 2 50 20000 183466
kroC100 2 100 2000 183466
kroC100 2 100 5000 183466
kroC100 2 100 10000 183466
kroC100 2 100 20000 183466
kroC100 2 200 2000 183466
kroC100 2 200 5000 183466
kroC100 2 200 10000 183466
kroC100 2 200 20000 183466
kroC100 3 20 2000 183466
kroC100 3 20 5000 183466
kroC100 3 20 10000 183466
kroC100 3 20 20000 183466
kroC100 3 50 2000 183466
kroC100 3 50 5000 183466
kroC100 3 50 10000 183466
kroC100 3 50 20000 183466
kroC100 3 100 2000 183466
kroC100 3 100 5000 183466
kroC100 3 100 10000 183466
kroC100 3 100 20000 183466
kroC100 3 200 2000 183466
kroC100 3 200 5000 183466
kroC100 3 200 10000 183466
kroC100 3 200 20000 183466
kroD100 1 20 2000 170990
kroD100 1 20 5000 170990
kroD100 1 20 10000 170990
kroD100 1 20 20000 170990
kroD100 1 50 2000 170990
kroD100 1 50 5000 170990
kroD100 1 50 10000 170990
kroD100 1 50 20000 170990
kroD100 1 100 2000 170990
kroD100 1 100 5000 170990
kroD100 1 100 10000 170990
kroD100 1 100 20000 170990
kroD100 1 200 2000 170990
kroD100 1 200 5000 170990
kroD100 1 200 10000 170990
kroD100 1 200 20000 170990
kroD100 2 20 2000 170990
kroD100 2 20 5000 170990
kroD100 2 20 10000 170990
kroD100 2 20 20000 170990
kroD100 2 50 2000 170990
kroD100 2 50 5000 170990
kroD100 2 50 10000 170990
kroD100 2 50 20000 170990
kroD100 2 100 2000 170990
kroD100 2 100 5000 170990
kroD100 2 100 10000 170990
kroD100 2 100 20000 170990
kroD100 2 200 2000 170990
kroD100 2 200 5000 170990
kroD100 2 200 10000 170990
kroD100 2 200 20000 170990
kroD100 3 20 2000 170990
kroD100 3 20 5000 170990
kroD100 3 20 10000 170990
kroD100 3 20 20000 170990
kroD100 3 50 2000 170990
kroD100 3 50 5000 170990
kroD100 3 50 10000 170990
kroD100 3 50 20000 170990
kroD100 3 100 2000 170990
kroD100 3 100 5000 170990
kroD100 3 100 10000 170990
kroD100 3 100 20000 170990
kroD100 3 200 2000 170990
kroD100 3 200 5000 170990
kroD100 3 200 10000 170990
kroD100 3 200 20000 170990
lin105 1 20 2000 36480
lin105 1 20 5000 36480
lin105 1 20 10000 36480
lin105 1 20 20000 36480
lin105 1 50 2000 36480
lin105 1 50 5000 36480
lin105 1 50 10000 36480
lin105 1 50 20000 36480
lin105 1 100 2000 36480
lin105 1 100 5000 36480
lin105 1 100 10000 36480
lin105 1 100 20000 36480
lin105 1 200 2000 36480
lin105 1 200 5000 36480
lin105 1 200 10000 36480
lin105 1 200 20000 36480
lin105 2 20 2000 36480
lin105 2 20 5000 36480
lin105 2 20 10000 36480
lin105 2 20 20000 36480
lin105 2 50 2000 36480
lin105 2 50 5000 36480
lin105 2 50 10000 36480
lin105 2 50 20000 36480
lin105 2 100 2000 36480
lin105 2 100 5000 36480
lin105 2 100 10000 36480
lin105 2 100 20000 36480
lin105 2 200 2000 36480
lin105 2 200 5000 36480
lin105 2 200 10000 36480
lin105 2 200 20000 36480
lin105 3 20 2000 36480
lin105 3 20 5000 36480
lin105 3 20 10000 36480
lin105 3 20 20000 36480
lin105 3 50 2000 36480
lin105 3 50 5000 36480
lin105 3 50 10000 36480
lin105 3 50 20000 36480
lin105 3 100 2000 36480
lin105 3 100 5000 36480
lin105 3 100 10000 36480
lin105 3 100 20000 36480
lin105 3 200 2000 36480
lin105 3 200 5000 36480
lin105 3 200 10000 36480
lin105 3 200 20000 36480
pcb442 1 20 2000 221440
pcb442 1 20 5000 221440
pcb442 1 20 10000 221440
pcb442 1 20 20000 221440
pcb442 1 50 2000 221440
pcb442 1 50 5000 221440
pcb442 1 50 10000 221440
pcb442 1 50 20000 221440
pcb442 1 100 2000 221440
pcb442 1 100 5000 221440
pcb442 1 100 10000 221440
pcb442 1 100 20000 221440
pcb442 1 200 2000 221440
pcb442 1 200 5000 221440
pcb442 1 200 10000 221440
pcb442 1 200 20000 221440
pcb442 2 20 2000 221440
pcb442 2 20 5000 221440
pcb442 2 20 10000 221440
pcb442 2 20 20000 221440
pcb442 2 50 2000 221440
pcb442 2 50 5000 221440
pcb442 2 50 10000 221440
pcb442 2 50 20000 221440
pcb442 2 100 2000 221440
pcb442 2 100 5000 221440
pcb442 2 100 10000 221440
pcb442 2 100 20000 221440
pcb442 2 200 2000 221440
pcb442 2 200 5000 221440
pcb442 2 200 10000 221440
pcb442 2 200 20000 221440
pcb442 3 20 2000 221440
pcb442 3 20 5000 221440
pcb442 3 20 10000 221440
pcb442 3 20 20000 221440
pcb442 3 50 2000 221440
pcb442 3 50 5000 221440
pcb442 3 50 10000 221440
pcb442 3 50 20000 221440
pcb442 3 100 2000 221440
pcb442 3 100 5000 221440
pcb442 3 100 10000 221440
pcb442 3 100 20000 221440
pcb442 3 200 2000 221440
pcb442 3 200 5000 221440
pcb442 3 200 10000 221440
pcb442 3 200 20000 221440
pr2392 1 20 2000 378032
pr2392 1 20 5000 378032
pr2392 1 20 10000 378032
pr2392 1 20 20000 378032
pr2392 1 50 2000 378032
pr2392 1 50 5000 378032
pr2392 1 50 10000 378032
pr2392 1 50 20000 378032
pr2392 1 100 2000 378032
pr2392 1 100 5000 378032
pr2392 1 100 10000 378032
pr2392 1 100 20000 378032
pr2392 1 200 2000 378032
pr2392 1 200 5000 378032
pr2392 1 200 10000 378032
pr2392 1 200 20000 378032
pr2392 2 20 2000 378032
pr2392 2 20 5000 378032
pr2392 2 20 10000 378032
pr2392 2 20 20000 378032
pr2392 2 50 2000 378032
pr2392 2 50 5000 378032
pr2392 2 50 10000 378032
pr2392 2 50 20000 378032
pr2392 2 100 2000 378032
pr2392 2 100 5000 378032
pr2392 2 100 10000 378032
pr2392 2 100 20000 378032
pr2392 2 200 2000 378032
pr2392 2 200 5000 378032
pr2392 2 200 10000 378032
pr2392 2 200 20000 378032
pr2392 3 20 2000 378032
pr2392 3 20 5000 378032
pr2392 3 20 10000 378032
pr2392 3 20 20000 378032
pr2392 3 50 2000 378032
pr2392 3 50 5000 378032
pr2392 3 50 10000 378032
pr2392 3 50 20000 378032
pr2392 3 100 2000 378032
pr2392 3 100 5000 378032
pr2392 3 100 10000 378032
pr2392 3 100 20000 378032
pr2392 3 200 2000 378032
pr2392 3 200 5000 378032
pr2392 3 200 10000 378032
pr2392 3 200 20000 378032
usa13509 1 20 2000 1590833042
usa13509 1 20 5000 1590833042
usa13509 1 20 10000 1590833042
usa13509 1 20 20000 1590833042
usa13509 1 50 2000 1590833042
usa13509 1 50 5000 1590833042
usa13509 1 50 10000 1590833042
usa13509 1 50 20000 1590833042
usa13509 1 100 2000 1590833042
usa13509 1 100 5000 1590833042
usa13509 1 100 10000 1590833042
usa13509 1 100 20000 1590833042
usa13509 1 200 2000 1590833042
usa13509 1 200 5000 1590833042
usa13509 1 200 10000 1590833042
usa13509 1 200 20000 1590833042
usa13509 2 20 2000 1590833042
usa13509 2 20 5000 1590833042
usa13509 2 20 10000 1590833042
usa13509 2 20 20000 1590833042
usa13509 2 50 2000 1590833042
usa13509 2 50 5000 1590833042
usa13509 2 50 10000 1590833042
usa13509 2 50 20000 1590833042
usa13509 2 100 2000 1590833042
usa13509 2 100 5000 1590833042
usa13509 2 100 10000 1590833042
usa13509 2 100 20000 1590833042
usa13509 2 200 2000 1590833042
usa13509 2 200 5000 1590833042
usa13509 2 200 10000 1590833042
usa13509 2 200 20000 1590833042
usa13509 3 20 2000 1590833042
usa13509 3 20 5000 1590833042
usa13509 3 20 10000 1590833042
usa13509 3 20 20000 1590833042
usa13509 3 50 2000 1590833042
usa13509 3 50 5000 1590833042
usa13509 3 50 10000 1590833042
usa13509 3 50 20000 1590833042
usa13509 3 100 2000 1590833042
usa13509 3 100 5000 1590833042
usa13509 3 100 10000 1590833042
usa13509 3 100 20000 1590833042
usa13509 3 200 2000 1590833042
usa13509 3 200 5000 1590833042
usa13509 3 200 10000 1590833042
usa13509 3 200 20000 1590833042
