run,best,mean_so_far,std_so_far,secs
1,543,543.00,0.00,18.84
2,543,543.00,0.00,18.67
3,543,543.00,0.00,18.99
4,541,542.50,0.87,19.05
5,540,542.00,1.26,18.85
6,541,541.83,1.21,18.69
7,538,541.29,1.75,18.97
8,544,541.62,1.87,18.97
9,540,541.44,1.83,18.75
10,541,541.40,1.74,18.90
11,542,541.45,1.67,18.93
12,540,541.33,1.65,18.67
13,541,541.31,1.59,18.78
14,539,541.14,1.64,18.46
15,545,541.40,1.85,18.91
16,541,541.38,1.80,18.89
17,544,541.53,1.85,18.87
18,539,541.39,1.89,18.75
19,542,541.42,1.84,19.13
20,541,541.40,1.80,18.76
21,543,541.48,1.79,19.01
22,544,541.59,1.83,19.04
23,545,541.74,1.92,18.71
24,541,541.71,1.88,18.86
25,543,541.76,1.86,19.03
26,538,541.62,1.96,18.66
27,544,541.70,1.98,18.89
28,543,541.75,1.96,18.84
29,540,541.69,1.95,18.73
30,538,541.57,2.03,18.86
