run,best,mean_so_far,std_so_far,secs
1,426,426.00,0.00,7.28
2,427,426.50,0.50,9.41
3,426,426.33,0.47,12.88
4,426,426.25,0.43,12.51
5,426,426.20,0.40,12.91
6,426,426.17,0.37,12.72
7,428,426.43,0.73,12.80
8,426,426.38,0.70,12.75
9,426,426.33,0.67,12.32
10,426,426.30,0.64,12.97
11,426,426.27,0.62,12.77
12,427,426.33,0.62,13.09
13,426,426.31,0.61,13.38
14,427,426.36,0.61,12.60
15,426,426.33,0.60,12.51
16,426,426.31,0.58,13.32
17,426,426.29,0.57,12.90
18,426,426.28,0.56,12.62
19,427,426.32,0.57,12.55
20,426,426.30,0.56,13.11
21,426,426.29,0.55,12.79
22,426,426.27,0.54,12.65
23,426,426.26,0.53,12.86
24,426,426.25,0.52,12.65
25,427,426.28,0.53,12.84
26,426,426.27,0.52,12.67
27,428,426.33,0.61,12.67
28,426,426.32,0.60,12.69
29,427,426.34,0.60,12.77
30,426,426.33,0.60,12.91
